time,RR,beat
346.048,1120,Q
347.192,1144,Q
348.304,1112,Q
349.456,1152,Q
350.584,1128,Q
351.712,1128,Q
352.828,1116,Q
353.968,1140,Q
355.068,1100,Q
356.176,1108,Q
357.268,1092,Q
358.352,1084,Q
359.448,1096,Q
360.544,1096,Q
361.636,1092,Q
362.764,1128,Q
363.884,1120,Q
364.968,1084,Q
366.088,1120,Q
367.208,1120,Q
368.312,1104,Q
369.396,1084,Q
370.472,1076,Q
371.548,1076,Q
372.616,1068,Q
373.7,1084,Q
374.752,1052,Q
375.82,1068,Q
376.92,1100,Q
378.004,1084,Q
379.036,1032,Q
380.108,1072,Q
381.164,1056,Q
382.28,1116,Q
383.368,1088,Q
384.44,1072,Q
385.476,1036,Q
386.5,1024,Q
387.548,1048,Q
388.632,1084,Q
389.76,1128,Q
390.88,1120,Q
392.024,1144,Q
393.168,1144,Q
394.32,1152,Q
395.444,1124,Q
396.548,1104,Q
397.656,1108,Q
398.76,1104,Q
399.844,1084,Q
400.928,1084,Q
402.044,1116,Q
403.128,1084,Q
404.204,1076,Q
405.264,1060,Q
406.324,1060,Q
407.396,1072,Q
408.456,1060,Q
409.576,1120,Q
410.696,1120,Q
411.796,1100,Q
412.9,1104,Q
414.012,1112,Q
415.088,1076,Q
416.184,1096,Q
417.26,1076,Q
418.348,1088,Q
419.428,1080,Q
420.476,1048,Q
421.56,1084,Q
422.648,1088,Q
423.728,1080,Q
424.812,1084,Q
425.88,1068,Q
426.928,1048,Q
427.976,1048,Q
429.036,1060,Q
430.1,1064,Q
431.172,1072,Q
432.224,1052,Q
433.3,1076,Q
434.36,1060,Q
435.42,1060,Q
436.468,1048,Q
437.544,1076,Q
438.624,1080,Q
439.74,1116,Q
440.844,1104,Q
441.928,1084,Q
442.996,1068,Q
444.092,1096,Q
445.196,1104,Q
446.244,1048,Q
447.32,1076,Q
448.376,1056,Q
449.44,1064,Q
450.488,1048,Q
451.524,1036,Q
452.56,1036,Q
453.608,1048,Q
454.688,1080,Q
455.74,1052,Q
456.808,1068,Q
457.856,1048,Q
458.904,1048,Q
459.964,1060,Q
461.008,1044,Q
462.092,1084,Q
463.184,1092,Q
464.3,1116,Q
465.432,1132,Q
466.564,1132,Q
467.696,1132,Q
468.848,1152,Q
469.956,1108,Q
471.108,1152,Q
472.24,1132,Q
473.388,1148,Q
474.54,1152,Q
475.68,1140,Q
476.832,1152,Q
477.948,1116,Q
479.02,1072,Q
480.224,1204,Q
481.384,1160,Q
482.516,1132,Q
483.656,1140,Q
484.712,1056,Q
485.756,1044,Q
486.824,1068,Q
487.872,1048,Q
488.944,1072,Q
490.0,1056,Q
491.052,1052,Q
492.088,1036,Q
493.14,1052,Q
494.184,1044,Q
495.236,1052,Q
496.332,1096,Q
497.472,1140,Q
498.596,1124,Q
499.748,1152,Q
500.916,1168,Q
502.064,1148,Q
503.204,1140,Q
504.352,1148,Q
505.472,1120,Q
506.588,1116,Q
507.704,1116,Q
508.864,1160,Q
510.02,1156,Q
511.172,1152,Q
512.304,1132,Q
513.424,1120,Q
514.524,1100,Q
515.632,1108,Q
516.732,1100,Q
517.804,1072,Q
518.896,1092,Q
519.968,1072,Q
521.02,1052,Q
522.068,1048,Q
523.084,1016,Q
524.1,1016,Q
525.12,1020,Q
526.124,1004,Q
527.128,1004,Q
528.164,1036,Q
529.22,1056,Q
530.292,1072,Q
531.372,1080,Q
532.484,1112,Q
533.616,1132,Q
534.7,1084,Q
535.812,1112,Q
536.896,1084,Q
537.968,1072,Q
539.056,1088,Q
540.156,1100,Q
541.224,1068,Q
542.26,1036,Q
543.308,1048,Q
544.336,1028,Q
545.384,1048,Q
546.44,1056,Q
547.496,1056,Q
548.508,1012,Q
549.512,1004,Q
550.536,1024,Q
551.54,1004,Q
552.548,1008,Q
553.54,992,Q
554.552,1012,Q
555.592,1040,Q
556.648,1056,Q
557.728,1080,Q
558.82,1092,Q
559.916,1096,Q
560.992,1076,Q
562.092,1100,Q
563.204,1112,Q
564.34,1136,Q
565.436,1096,Q
566.552,1116,Q
567.64,1088,Q
568.756,1116,Q
569.852,1096,Q
570.964,1112,Q
572.068,1104,Q
573.14,1072,Q
574.224,1084,Q
575.304,1080,Q
576.416,1112,Q
577.524,1108,Q
578.612,1088,Q
579.704,1092,Q
580.756,1052,Q
581.824,1068,Q
582.888,1064,Q
583.992,1104,Q
585.064,1072,Q
586.152,1088,Q
587.228,1076,Q
588.316,1088,Q
589.384,1068,Q
590.428,1044,Q
