time,RR,beat
347.648,1116,Q
348.788,1140,Q
349.888,1100,Q
350.996,1108,Q
352.088,1092,Q
353.172,1084,Q
354.268,1096,Q
355.364,1096,Q
356.456,1092,Q
357.584,1128,Q
358.704,1120,Q
359.788,1084,Q
360.908,1120,Q
362.028,1120,Q
363.132,1104,Q
364.216,1084,Q
365.292,1076,Q
366.368,1076,Q
367.436,1068,Q
368.52,1084,Q
369.572,1052,Q
370.64,1068,Q
371.74,1100,Q
372.824,1084,Q
373.856,1032,Q
374.928,1072,Q
375.984,1056,Q
377.1,1116,Q
378.188,1088,Q
379.26,1072,Q
380.296,1036,Q
381.32,1024,Q
382.368,1048,Q
383.452,1084,Q
384.58,1128,Q
385.7,1120,Q
386.844,1144,Q
387.988,1144,Q
389.14,1152,Q
390.264,1124,Q
391.368,1104,Q
392.476,1108,Q
393.58,1104,Q
394.664,1084,Q
395.748,1084,Q
396.864,1116,Q
397.948,1084,Q
399.024,1076,Q
400.084,1060,Q
401.144,1060,Q
402.216,1072,Q
403.276,1060,Q
404.396,1120,Q
405.516,1120,Q
406.616,1100,Q
407.72,1104,Q
408.832,1112,Q
409.908,1076,Q
411.004,1096,Q
412.08,1076,Q
413.168,1088,Q
414.248,1080,Q
415.296,1048,Q
416.38,1084,Q
417.468,1088,Q
418.548,1080,Q
419.632,1084,Q
420.7,1068,Q
421.748,1048,Q
422.796,1048,Q
423.856,1060,Q
424.92,1064,Q
425.992,1072,Q
427.044,1052,Q
428.12,1076,Q
429.18,1060,Q
430.24,1060,Q
431.288,1048,Q
432.364,1076,Q
433.444,1080,Q
434.56,1116,Q
435.664,1104,Q
436.748,1084,Q
437.816,1068,Q
438.912,1096,Q
440.016,1104,Q
441.064,1048,Q
442.14,1076,Q
443.196,1056,Q
444.26,1064,Q
445.308,1048,Q
446.344,1036,Q
447.38,1036,Q
448.428,1048,Q
449.508,1080,Q
450.56,1052,Q
451.628,1068,Q
452.676,1048,Q
453.724,1048,Q
454.784,1060,Q
455.828,1044,Q
456.912,1084,Q
458.004,1092,Q
459.12,1116,Q
460.252,1132,Q
461.384,1132,Q
462.516,1132,Q
463.668,1152,Q
464.776,1108,Q
465.928,1152,Q
467.06,1132,Q
468.208,1148,Q
469.36,1152,Q
470.5,1140,Q
471.652,1152,Q
472.768,1116,Q
473.84,1072,Q
475.044,1204,Q
476.204,1160,Q
477.336,1132,Q
478.476,1140,Q
479.532,1056,Q
480.576,1044,Q
481.644,1068,Q
482.692,1048,Q
483.764,1072,Q
484.82,1056,Q
485.872,1052,Q
486.908,1036,Q
487.96,1052,Q
489.004,1044,Q
490.056,1052,Q
491.152,1096,Q
492.292,1140,Q
493.416,1124,Q
494.568,1152,Q
495.736,1168,Q
496.884,1148,Q
498.024,1140,Q
499.172,1148,Q
500.292,1120,Q
501.408,1116,Q
502.524,1116,Q
503.684,1160,Q
504.84,1156,Q
505.992,1152,Q
507.124,1132,Q
508.244,1120,Q
509.344,1100,Q
510.452,1108,Q
511.552,1100,Q
512.624,1072,Q
513.716,1092,Q
514.788,1072,Q
515.84,1052,Q
516.888,1048,Q
517.904,1016,Q
518.92,1016,Q
519.94,1020,Q
520.944,1004,Q
521.948,1004,Q
522.984,1036,Q
524.04,1056,Q
525.112,1072,Q
526.192,1080,Q
527.304,1112,Q
528.436,1132,Q
529.52,1084,Q
530.632,1112,Q
531.716,1084,Q
532.788,1072,Q
533.876,1088,Q
534.976,1100,Q
536.044,1068,Q
537.08,1036,Q
538.128,1048,Q
539.156,1028,Q
540.204,1048,Q
541.26,1056,Q
542.316,1056,Q
543.328,1012,Q
544.332,1004,Q
545.356,1024,Q
546.36,1004,Q
547.368,1008,Q
548.36,992,Q
549.372,1012,Q
550.412,1040,Q
551.468,1056,Q
552.548,1080,Q
553.64,1092,Q
554.736,1096,Q
555.812,1076,Q
556.912,1100,Q
558.024,1112,Q
559.16,1136,Q
560.256,1096,Q
561.372,1116,Q
562.46,1088,Q
563.576,1116,Q
564.672,1096,Q
565.784,1112,Q
566.888,1104,Q
567.96,1072,Q
569.044,1084,Q
570.124,1080,Q
571.236,1112,Q
572.344,1108,Q
573.432,1088,Q
574.524,1092,Q
575.576,1052,Q
576.644,1068,Q
577.708,1064,Q
578.812,1104,Q
579.884,1072,Q
580.972,1088,Q
582.048,1076,Q
583.136,1088,Q
584.204,1068,Q
585.248,1044,Q
586.28,1032,Q
587.304,1024,Q
588.344,1040,Q
589.384,1040,Q
590.428,1044,Q
591.476,1048,Q
592.552,1076,Q
593.64,1088,Q
594.708,1068,Q
595.716,1008,Q
596.692,976,Q
597.656,964,Q
598.608,952,Q
599.568,960,Q
600.56,992,Q
601.544,984,Q
602.516,972,Q
603.536,1020,Q
604.62,1084,Q
605.68,1060,Q
606.78,1100,Q
607.864,1084,Q
608.972,1108,Q
610.056,1084,Q
611.124,1068,Q
612.236,1112,Q
613.352,1116,Q
614.468,1116,Q
615.536,1068,Q
616.62,1084,Q
617.68,1060,Q
618.748,1068,Q
619.812,1064,Q
620.896,1084,Q
622.008,1112,Q
623.128,1120,Q
624.248,1120,Q
625.384,1136,Q
626.504,1120,Q
627.652,1148,Q
628.812,1160,Q
629.956,1144,Q
631.104,1148,Q
632.232,1128,Q
633.38,1148,Q
634.48,1100,Q
635.584,1104,Q
636.676,1092,Q
637.808,1132,Q
638.916,1108,Q
640.028,1112,Q
641.124,1096,Q
642.176,1052,Q
643.224,1048,Q
644.288,1064,Q
645.32,1032,Q
646.34,1020,Q
647.404,1064,Q
648.468,1064,Q
649.556,1088,Q
650.64,1084,Q
651.732,1092,Q
652.856,1124,Q
653.988,1132,Q
655.096,1108,Q
656.188,1092,Q
657.3,1112,Q
658.396,1096,Q
659.488,1092,Q
660.548,1060,Q
661.592,1044,Q
662.636,1044,Q
663.688,1052,Q
664.752,1064,Q
665.82,1068,Q
666.896,1076,Q
667.984,1088,Q
669.084,1100,Q
670.172,1088,Q
671.276,1104,Q
672.372,1096,Q
673.516,1144,Q
674.64,1124,Q
675.768,1128,Q
676.904,1136,Q
678.052,1148,Q
679.176,1124,Q
680.304,1128,Q
681.448,1144,Q
682.588,1140,Q
683.728,1140,Q
684.88,1152,Q
686.028,1148,Q
687.188,1160,Q
688.324,1136,Q
689.44,1116,Q
690.596,1156,Q
691.684,1088,Q
692.824,1140,Q
693.964,1140,Q
695.084,1120,Q
696.192,1108,Q
697.32,1128,Q
698.416,1096,Q
699.496,1080,Q
700.576,1080,Q
701.656,1080,Q
702.748,1092,Q
703.868,1120,Q
704.996,1128,Q
706.124,1128,Q
707.228,1104,Q
708.324,1096,Q
709.416,1092,Q
710.52,1104,Q
711.616,1096,Q
712.704,1088,Q
713.8,1096,Q
714.888,1088,Q
715.984,1096,Q
717.1,1116,Q
718.232,1132,Q
719.36,1128,Q
720.488,1128,Q
721.628,1140,Q
722.744,1116,Q
723.844,1100,Q
724.924,1080,Q
725.988,1064,Q
727.04,1052,Q
728.096,1056,Q
729.156,1060,Q
730.232,1076,Q
731.292,1060,Q
732.352,1060,Q
733.4,1048,Q
734.476,1076,Q
735.516,1040,Q
736.536,1020,Q
737.536,1000,Q
738.548,1012,Q
739.58,1032,Q
740.688,1108,Q
741.8,1112,Q
742.9,1100,Q
743.988,1088,Q
745.068,1080,Q
746.16,1092,Q
747.248,1088,Q
748.356,1108,Q
749.436,1080,Q
750.52,1084,Q
751.588,1068,Q
752.712,1124,Q
753.816,1104,Q
754.932,1116,Q
756.052,1120,Q
757.184,1132,Q
758.292,1108,Q
759.424,1132,Q
760.54,1116,Q
761.648,1108,Q
762.772,1124,Q
763.876,1104,Q
764.996,1120,Q
766.116,1120,Q
767.252,1136,Q
768.38,1128,Q
769.488,1108,Q
770.576,1088,Q
771.704,1128,Q
772.832,1128,Q
773.952,1120,Q
775.072,1120,Q
776.164,1092,Q
777.228,1064,Q
778.284,1056,Q
779.36,1076,Q
780.408,1048,Q
781.46,1052,Q
782.476,1016,Q
783.472,996,Q
784.476,1004,Q
785.524,1048,Q
786.596,1072,Q
787.656,1060,Q
788.732,1076,Q
789.78,1048,Q
790.804,1024,Q
791.788,984,Q
792.78,992,Q
793.796,1016,Q
794.828,1032,Q
